Business Name,Phone,Address,Industry,Website Status,Lead Temperature,Score,Pain Points,Pitch Angle,City,Last Updated
"Elite Electric Co","(720) 555-0103","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Austin","2026-02-16T18:10:46.853Z"
"Denver Roofing Pro","(303) 555-0104","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Austin","2026-02-16T18:10:46.853Z"
"City Handyman Services","(720) 555-0105","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Austin","2026-02-16T18:10:46.853Z"
"A+ Landscaping","(303) 555-0106","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Austin","2026-02-16T18:10:46.853Z"
"Bob's Painters","(720) 555-0107","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Austin","2026-02-16T18:10:46.853Z"
"Master Contractors LLC","(303) 555-0108","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Austin","2026-02-16T18:10:46.853Z"
"Pro Plumbing Services","(720) 555-0101","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Phoenix","2026-02-16T18:10:46.853Z"
"Quick Fix HVAC","(303) 555-0102","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Phoenix","2026-02-16T18:10:46.853Z"
"Elite Electric Co","(720) 555-0103","123 Main St, Denver CO","plumbers","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Phoenix","2026-02-16T18:10:46.853Z"
"Denver Roofing Pro","(303) 555-0104","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Phoenix","2026-02-16T18:10:46.853Z"
"City Handyman Services","(720) 555-0105","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Phoenix","2026-02-16T18:10:46.853Z"
"A+ Landscaping","(303) 555-0106","123 Main St, Denver CO","plumbers","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Phoenix","2026-02-16T18:10:46.853Z"
"Bob's Painters","(720) 555-0107","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Phoenix","2026-02-16T18:10:46.853Z"
"Master Contractors LLC","(303) 555-0108","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Phoenix","2026-02-16T18:10:46.853Z"
"Pro Plumbing Services","(720) 555-0101","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Phoenix","2026-02-16T18:10:46.853Z"
"Quick Fix HVAC","(303) 555-0102","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Phoenix","2026-02-16T18:10:46.853Z"
"Elite Electric Co","(720) 555-0103","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Phoenix","2026-02-16T18:10:46.853Z"
"Denver Roofing Pro","(303) 555-0104","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Phoenix","2026-02-16T18:10:46.853Z"
"City Handyman Services","(720) 555-0105","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Phoenix","2026-02-16T18:10:46.853Z"
"A+ Landscaping","(303) 555-0106","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Phoenix","2026-02-16T18:10:46.853Z"
"Bob's Painters","(720) 555-0107","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Phoenix","2026-02-16T18:10:46.853Z"
"Master Contractors LLC","(303) 555-0108","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Phoenix","2026-02-16T18:10:46.853Z"
"Pro Plumbing Services","(720) 555-0101","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Quick Fix HVAC","(303) 555-0102","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Elite Electric Co","(720) 555-0103","123 Main St, Denver CO","plumbers","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Denver Roofing Pro","(303) 555-0104","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Las Vegas","2026-02-16T18:10:46.853Z"
"City Handyman Services","(720) 555-0105","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Las Vegas","2026-02-16T18:10:46.853Z"
"A+ Landscaping","(303) 555-0106","123 Main St, Denver CO","plumbers","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Bob's Painters","(720) 555-0107","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Las Vegas","2026-02-16T18:10:46.853Z"
"Master Contractors LLC","(303) 555-0108","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Pro Plumbing Services","(720) 555-0101","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Quick Fix HVAC","(303) 555-0102","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Elite Electric Co","(720) 555-0103","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Denver Roofing Pro","(303) 555-0104","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Las Vegas","2026-02-16T18:10:46.853Z"
"City Handyman Services","(720) 555-0105","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Las Vegas","2026-02-16T18:10:46.853Z"
"A+ Landscaping","(303) 555-0106","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Bob's Painters","(720) 555-0107","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Las Vegas","2026-02-16T18:10:46.853Z"
"Master Contractors LLC","(303) 555-0108","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Las Vegas","2026-02-16T18:10:46.853Z"
"Pro Plumbing Services","(720) 555-0101","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Miami","2026-02-16T18:10:46.853Z"
"Quick Fix HVAC","(303) 555-0102","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Miami","2026-02-16T18:10:46.853Z"
"Elite Electric Co","(720) 555-0103","123 Main St, Denver CO","plumbers","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Miami","2026-02-16T18:10:46.853Z"
"Denver Roofing Pro","(303) 555-0104","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Miami","2026-02-16T18:10:46.853Z"
"City Handyman Services","(720) 555-0105","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Miami","2026-02-16T18:10:46.853Z"
"A+ Landscaping","(303) 555-0106","123 Main St, Denver CO","plumbers","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Miami","2026-02-16T18:10:46.853Z"
"Bob's Painters","(720) 555-0107","123 Main St, Denver CO","plumbers","None","WARM","5","no_website","Get found on Google","Miami","2026-02-16T18:10:46.853Z"
"Master Contractors LLC","(303) 555-0108","123 Main St, Denver CO","plumbers","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Miami","2026-02-16T18:10:46.853Z"
"Pro Plumbing Services","(720) 555-0101","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Miami","2026-02-16T18:10:46.853Z"
"Quick Fix HVAC","(303) 555-0102","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Miami","2026-02-16T18:10:46.853Z"
"Elite Electric Co","(720) 555-0103","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Miami","2026-02-16T18:10:46.853Z"
"Denver Roofing Pro","(303) 555-0104","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Miami","2026-02-16T18:10:46.853Z"
"City Handyman Services","(720) 555-0105","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Miami","2026-02-16T18:10:46.853Z"
"A+ Landscaping","(303) 555-0106","123 Main St, Denver CO","hvac","Has Website","WARM","5","missing_calls; no_online_booking","Never miss a booking + Add online booking","Miami","2026-02-16T18:10:46.853Z"
"Bob's Painters","(720) 555-0107","123 Main St, Denver CO","hvac","None","WARM","5","no_website","Get found on Google","Miami","2026-02-16T18:10:46.853Z"
"Master Contractors LLC","(303) 555-0108","123 Main St, Denver CO","hvac","None","HOT","8","no_website; missing_calls","Get found on Google + Never miss a booking","Miami","2026-02-16T18:10:46.853Z"
